college_name,branch,rank
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",5596
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",5616
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology)",5631
Indian Institute  of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",5652
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",5687
Indian Institute  of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",5701
Indian Institute  of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",5739
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5746
"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",5780
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5791
"National Institute of Technology, Warangal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",5814
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",5821
Indian Institute  of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",5832
Indian Institute  of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",5847
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5876
Indian Institute  of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5877
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",5889
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",5954
Indian Institute  of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",5959
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",5963
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",5965
Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5978
Indian Institute  of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",5990
Indian Institute  of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",6008
Indian Institute  of Technology Ropar,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",6031
Indian Institute  of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",6040
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",6095
Indian Institute  of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",6116
Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",6124
Indian Institute  of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",6132
